,Belief In Earning Opportunity Equality,Belief In Pay Equality,Education Helps Women,Role Models Help Women,Family Planning Helps Women,Maternity Pay And Childcare Helps Women,Minimum Wage Help Women,Access To Banking Helps Women,Womens Groups And Charities Helps Women,What Helps Women?,Fear Of Violence Is A Barrier,Laws Against Women Working Are A Barrier,Family Responsibilities Are A Barrier,Lack Of Experience Or Skills Is A Barrier,Traditional Views Of Women Are A Barrier,Lack Of ICT Access Is A Barrier,What Are Barriers To Women?,Strength Of Belief That Government Is Helping Women,What Helped You The Most?,Gender,Education,Age
4869,No,No,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,2,"Education, skills & exposure, family planning and not listening to traditional views of womens' roles as viewed by society and majority in my community",Female,Beyond Secondary School,42
4870,No,No,Yes,No,No,No,No,No,No,Government mandated policies that will ensure equality between men and women,No,No,No,Yes,Yes,No,,2,"Education was my best asset. Also, I think because the industry I am currently in which I think was not so much biased towards males was also a factor that I do not feel alienated or inferior vs males.",Female,Beyond Secondary School,29
4871,No,No,No,Yes,No,Yes,No,No,No,,No,Yes,No,No,Yes,No,,3,,Female,Beyond Secondary School,28
4872,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,1,"My education, defiance and rejection of stereotype gender roles. My convintion that I'm equal to men in dignity and that I should not accept a subordinate status.",Female,Beyond Secondary School,59
4873,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,1,education and familial culture and support,Female,Beyond Secondary School,28
4874,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,5,,Male,Beyond Secondary School,43
4875,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,4,My education. I have managed to go through good education system and the traditional barriers which mostly hinders women from having progressive career have been eliminated in my community.,Female,Beyond Secondary School,40
4876,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,Good education background,Male,Beyond Secondary School,30
4877,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,1,"Support from partner and friends, and taking risks",Female,Finished Secondary School,32
4878,No,,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,27
4879,Yes,No,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,,2,,Female,Beyond Secondary School,28
4880,No,No,No,Yes,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,1,la Educación,Female,Beyond Secondary School,38
4881,No,No,Yes,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,No,,2,,Female,Beyond Secondary School,29
4882,Yes,No,Yes,No,No,No,No,No,Yes,,No,No,No,Yes,No,No,,4,"Hard work, persistence, flexibility and an ability to see the possibilities.  I have also continued to access learning both to further my knowledge needed in my business activities and the skills needed to actually run my business like marketing, accounts,  management.",Female,Beyond Secondary School,66
4883,No,No,No,Yes,No,No,No,No,Yes,,No,No,No,Yes,Yes,No,,3,"My women friends and acquaintances, in particular, job referrals and references.  Support from women by using my services when I began my own independent contractor career (2nd career).  Loyalty, good word of mouth all sustained me and helped in developing my professional image of competence and reliability.",Female,Finished Secondary School,65
4884,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,69
4885,No,No,No,No,No,No,Yes,Yes,No,,No,No,Yes,Yes,No,No,,2,"My family helped me to have a good education; however having reached a certain status and level of education, am overqualified and have no other choice that to start a business",Female,Beyond Secondary School,39
4886,No,No,Yes,No,No,No,Yes,No,No,,No,No,No,Yes,Yes,No,,2,Being a strong willed women and the support of my husband and family. Alowing me to set my own path and work hard. To own my own business.,Female,Finished Primary School,66
4887,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,"Sheer determination, extreme hard work, Confidence, Strong will to suceed and working Smart",Female,Beyond Secondary School,45
4888,Yes,Yes,No,No,No,No,No,Yes,No,Women should be capacitated in terms of enterprenuership and politics.,No,No,No,No,Yes,No,,4,First it is good education that unlock the door to untapped opportunities. Secondly confidence and thirdly the courage to take risks.,Male,Beyond Secondary School,31
4889,No,No,No,Yes,No,No,No,No,Yes,,No,No,No,No,Yes,No,,2,Other people believing in me -- often men.,Female,Beyond Secondary School,63
4890,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,"La autoestima personal, y la confianza en mi de las personas más cercanas",Female,Beyond Secondary School,60
4891,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,43
4892,No,No,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,3,"good education
good support systems
good guidance
encouragement",Female,Beyond Secondary School,57
4893,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,Yes,No,,5,My education has helped me and of course my family support.,Female,Beyond Secondary School,24
4894,No,Yes,Yes,No,Yes,No,No,No,No,,No,No,Yes,Yes,No,No,,3,"education, family support ,friends support and positive attitude towards my career",Female,Beyond Secondary School,38
4895,Yes,Yes,Yes,No,No,No,No,Yes,No,,Yes,No,No,No,Yes,No,,5,good education and family support,Female,Beyond Secondary School,47
4896,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,5,My education and my family support  has helped me a lot.,Female,Beyond Secondary School,55
4897,Yes,Yes,Yes,No,No,No,No,No,No,family support & sharing of responsibilities by partner,No,No,Yes,No,Yes,No,,4,my education & support from family members in sharing responsibilities at home,Female,Beyond Secondary School,42
4898,No,No,Yes,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,25
4899,No,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,3,My education and charm to do the job,Female,Beyond Secondary School,48
4900,Yes,Yes,Yes,No,No,No,No,No,No,support of family member also,No,No,Yes,No,No,No,support of family member,5,only my family and my education also,Female,Beyond Secondary School,58
4901,No,Yes,Yes,Yes,No,No,No,No,No,,Yes,No,Yes,No,No,No,,4,My parents,Female,Beyond Secondary School,43
4902,No,No,No,Yes,No,No,No,No,No,"same opportunities, networks, supporters, good full time jobs",No,No,No,No,Yes,No,,3,"Networking, good education, supporters",Female,Beyond Secondary School,44
4903,No,Yes,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,4,Good Educational Qualification and family support,Female,Beyond Secondary School,46
4904,No,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,EDUCATION AND FAMILY SUPPORT,Female,Beyond Secondary School,26
4905,No,Yes,Yes,No,No,No,No,No,No,more job opportunities,No,No,Yes,No,No,No,,3,Education and family encouragement and support,Female,Beyond Secondary School,44
4906,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,2,my education helped in getting a teachers job.,Female,Beyond Secondary School,57
4907,Yes,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,2,a sound education and constant motivation given by my family pre and post marriage,Female,Beyond Secondary School,48
4908,No,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,3,GOOD LEARNER AND A GOOD EDUCATION WITH CHARM TO DO A JOB,Female,Beyond Secondary School,58
4909,Yes,Yes,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,4,"Good education, strong self esteem.",Female,Beyond Secondary School,56
4910,No,Yes,Yes,No,No,No,No,No,No,More oppurtunities for women in the field of jobs,Yes,No,No,No,Yes,No,,1,,Female,Beyond Secondary School,35
4911,No,No,Yes,No,No,No,No,No,Yes,,No,No,Yes,No,Yes,No,,2,my self esteem and my pride in being self fufficient,Female,Beyond Secondary School,40
4912,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,4,education and volunteer experience.,Male,Beyond Secondary School,30
4913,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,3,,Male,Beyond Secondary School,21
4914,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"Having confidence on my abilities and fighting for my rights in front  of men's opinions, despite the fact of feeling guilty for some renounces, overall familiy ones.",Female,Beyond Secondary School,43
4915,Yes,Yes,Yes,No,Yes,No,No,No,No,,Yes,No,No,No,Yes,No,,4,Education is best tool in life .Each and every body have resposibility towards society.,Male,Beyond Secondary School,43
4916,Yes,Yes,Yes,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,,3,,Female,Beyond Secondary School,38
4917,Yes,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,4,"1. for starting good schooleducation, but then in followup also high  Disciplin and reliability , keep the spirit to contribute also in changing business and needs. (The same for the family)",Female,Finished Secondary School,58
4918,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,4,The access of Education has been the major contribution for the opportunities i have been able to access,Female,Beyond Secondary School,24
4919,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,2,compétences et un réseau professionnel familial,Male,Beyond Secondary School,28
4920,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,3,education,Female,Beyond Secondary School,51
4921,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,5,my good education and full cooperation of my family,Female,Beyond Secondary School,53
4922,Yes,Yes,Yes,No,No,No,No,Yes,No,,Yes,No,No,No,Yes,No,,4,"GOOD EDUCATION, PARENT' GUIDENCE AND SELF CONFIDENCE ARE THE KEY TO SUCCESS.",Female,Beyond Secondary School,46
4923,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,"Education. 
Successful women supporting me and telling me that I am capable of career and professional roles I had never considered.
Family support - particularly from my husband. Understanding from those around me that family responsibilities are shared.",Female,Beyond Secondary School,32
4924,Yes,Yes,Yes,No,No,No,No,Yes,No,,Yes,No,Yes,No,No,No,,3,"Good education,my own will power and  desire to work and become financially independent .",Female,Beyond Secondary School,46
4925,No,Yes,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,5,"support from the family,my education and will power to face challenges in life ,",Female,Beyond Secondary School,55
4926,No,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,3,"GOOD LEARNER ,GOOD EDUCATION AND A CHARM TO DO JOB.",Female,Beyond Secondary School,58
4927,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,3,"DETERMINATION TO SUCCEED,WANTING THE FREEDOM OF BEING FINANCIALLY STABLE,AND BEING A SINGLE MOTHER THE NEED TO GIVE MY SON THE BEST IN LIFE,",Female,Beyond Secondary School,30
4928,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,2,,Female,Beyond Secondary School,34
4929,No,No,No,No,No,Yes,Yes,No,No,,No,Yes,No,No,Yes,No,,3,"self confidence, affordable child care, support in doing the household chores and a supportive husband",Female,Beyond Secondary School,37
4930,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,"education and all the help of my husband and children.
also my own skills",Female,Beyond Secondary School,60
4931,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,Number one most helpfull is Education,Male,Beyond Secondary School,67
4932,Yes,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,5,"My education, support of parents.",Female,Beyond Secondary School,50
4933,Yes,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,3,"I never had the opportunity to study after school as we did not have the money, but only through experience am I where I am now.  I would still love to have the opportunity to study as without this degree I am not taken seriously or progress further or start my own business. I am a single Mom of 4 children.",Female,Finished Secondary School,49
4934,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,3,mon lycée est reconnu comme étant un lycée d'excellence,Female,Beyond Secondary School,22
4935,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,49
4936,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,Lack of institutional support,3,I was able to get a good job because of my education and I also was blessed to have mentors- both male and female that gave me access to opportunities. Access to funding through friends and family was also instrumental to my success.,Female,Beyond Secondary School,28
4937,No,No,No,No,Yes,No,No,No,Yes,,No,No,Yes,No,Yes,No,,3,"Good education, support from my familiy and partner, hard work and don't be shy to tell that you did a great job (this is normal for men but women tend to have problems doing that). Last but not least: great networking!",Female,Beyond Secondary School,38
4938,Yes,Yes,Yes,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,,3,"Good Education
Family support
good working environment
will to work",Female,Beyond Secondary School,42
4939,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,1,My education and my work.,Female,Beyond Secondary School,54
4940,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,"1) Affordable education 2) Youth program to get into the sector as a young professional, 3) management that supported my career, 4) female colleagues I can rely on, 5) workers rights to protect me during maternity leave",Female,Beyond Secondary School,32
4941,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,"What has helped me most was the practical help and psychological support from my family, in particular, my husband, my mother, and two sweet old aunts.",Female,Beyond Secondary School,62
4942,No,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,Yes,No,,4,Education and Contacts.,Female,Beyond Secondary School,59
4943,Yes,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,4,"To get a good job or to start business family support is important, secondly acquiring related knowledge, opportunity to get expected job, for earning money hard work, sincere efforts is important and successfully facing challenges to convert the deal.",Male,Beyond Secondary School,42
4944,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,"Supportive parents, education and exposure. Education and exposure helped me see what I would miss out by not engaging with a world outside my house. That played the part of a pull factor. My supportive parents pushed me to go as far as I could.",Female,Beyond Secondary School,30
4945,No,Yes,Yes,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,5,"Being open to change, being able to speak English, accepting challenges as opportunities, being able to take strong commitments on the job.",Male,Finished Secondary School,81
4946,No,No,Yes,No,No,No,No,Yes,No,,No,Yes,No,No,Yes,No,,3,,Female,Beyond Secondary School,54
4947,No,No,No,Yes,No,No,No,No,No,,No,No,No,Yes,No,No,,3,,Male,Some Primary School,20
4948,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,1,用人单位性别平等的观念、公平的制度、切实执行制度,Female,Beyond Secondary School,34
4949,No,No,No,No,Yes,No,No,No,No,,No,No,No,No,Yes,No,,1,,Female,Beyond Secondary School,27
4950,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,Yes,No,,4,,Male,Beyond Secondary School,50
4951,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,Yes,No,No,,3,Education,Female,Beyond Secondary School,25
4952,No,No,No,No,Yes,No,No,No,No,,No,No,No,No,Yes,No,,2,"D'abord moi je suis un homme de 25 ans Étudiant terminaliste chercheur d'emploie au mali. Pour le cas des femmes ici au mali le gouvernement ne s'intéresse même pas à l'emploiyabilité de nos mères, soeurs,petite soeurs ainsi de suite. Pour qu'une femme travaille ou avoir de l'argent ou son propre entreprise sauf si elle se marie a un homme qui de l'argent là ce dernier va l'aider a financé son entreprise où bien un travaille rémunéré par moi.",Male,Beyond Secondary School,25
4953,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,"my education, my personal input and way of doing my job, company benefits and development possibilities within the company I worked for",Female,Beyond Secondary School,63
4954,Yes,Yes,No,No,Yes,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,67
4955,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,"living in a country where it is common that a woman works, having studied until university",Female,Beyond Secondary School,58
4956,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,No,Yes,,2,"Be an entrepreneur, find a nich to provide a service or business opportunity and persevere because business is not easy",Female,Beyond Secondary School,45
4957,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,4,"The Education.
But the oligarchies, commanded essentially by women, give more power to men to avoid that other women, more or as competent as they, have the same opportunities. Usually these women like to be surrounded by incompetent to shine in the grey quality skills.",Female,Beyond Secondary School,51
4958,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,3,,Male,Beyond Secondary School,28
4959,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,Institutional Sexism,3,Education and family support (financial and emotional).,Female,Beyond Secondary School,35
4960,Yes,,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"My Education, My parent support and My Self- confidence.",Female,Beyond Secondary School,36
4961,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,1,,Female,Beyond Secondary School,25
4962,Yes,Yes,No,No,Yes,Yes,No,No,No,,No,Yes,No,No,Yes,No,,2,,Female,Beyond Secondary School,25
4963,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,family support,Female,Beyond Secondary School,32
4964,No,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,Yes,No,,3,myself,Female,Beyond Secondary School,38
4965,Yes,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,3,Being valued by my peers and boss. Despite that I still earn less than my male collegues,Female,Beyond Secondary School,34
4966,Yes,Yes,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,No,No,Lack of Networking and women cluster,2,,Female,Beyond Secondary School,30
4967,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,5,教育,Female,Beyond Secondary School,25
4968,,Yes,Yes,No,Yes,No,No,No,No,,No,No,No,Yes,No,Yes,,1,Gain more experience,Female,Finished Secondary School,21
4969,No,No,Yes,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,3,good education and skills,Female,Beyond Secondary School,20
4970,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,a good educational opportunities and open privileges.,Male,Beyond Secondary School,60
4971,No,No,No,Yes,Yes,No,No,No,No,,No,No,No,No,No,No,Children nurturing.,2,Hardworking and the help of family.,Female,Beyond Secondary School,29
4972,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,,Female,Finished Primary School,25
4973,No,Yes,No,No,No,No,No,No,No,a chance to start,No,No,No,No,Yes,No,,2,be given a chance to start， being trusted,Female,Some Primary School,28
4974,,No,Yes,No,No,No,No,No,No,better welfare and fair opportunities,No,No,Yes,No,Yes,No,,3,a good education and  related experiences.,Female,Beyond Secondary School,22
4975,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,4,,Male,Beyond Secondary School,60
4976,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,Good education; mentors who believed in me and told me 'I can do it'; access to contraception and family planning,Female,Beyond Secondary School,30
4977,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,Women's confidence in own ability,3,Own determination,Female,Beyond Secondary School,61
4978,Yes,Yes,Yes,No,No,No,No,No,No,女性接受技术教育，才能找到理想的工作,No,No,No,Yes,No,No,有的单位歧视女性，同工不同酬,4,"加强学习，提高综合素质，才能适应工作需要，才能找到理想的工作。
想找好工作，必须的有文化，懂技术。没有文化，或文化水平低是找不到好工作的。",Male,Beyond Secondary School,50
4979,No,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,Yes,No,,3,,Female,Beyond Secondary School,35
4980,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,19
4981,No,No,No,No,No,Yes,No,No,Yes,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,27
4982,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,,Female,Beyond Secondary School,26
4983,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,No,Yes,Yes,No,No,,2,,Female,Beyond Secondary School,24
4984,No,No,No,Yes,Yes,No,No,No,No,,No,No,Yes,Yes,No,No,,5,"Good education, support from friends and family, belief that I can do anything as a. Woman",Female,Beyond Secondary School,29
4985,Yes,Yes,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,,3,"Good education background, Rich working experiences and good characteristics such as honesty, confidence and good team play spirit.",Female,Beyond Secondary School,33
4986,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,4,专业教育培训,Female,Beyond Secondary School,28
4987,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,4,,Female,Beyond Secondary School,24
4988,No,Yes,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,start a business.,Female,Beyond Secondary School,21
4989,No,Yes,Yes,No,No,Yes,No,No,No,,Yes,No,No,No,Yes,No,,3,self teach,Female,Beyond Secondary School,34
4990,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,1,to have the possibility to pay a baby sitter for a long time,Female,Beyond Secondary School,48
4991,Yes,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,2,The ability to search for information and opportunities provided by companies.,Female,Finished Secondary School,16
4992,No,,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,"better education, working hard, learning more and trying to be elegant, make friends with people who has more relativ resourse",Female,Beyond Secondary School,20
4993,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,4,学历,Female,Beyond Secondary School,22
4994,No,No,Yes,No,No,No,No,No,No,affirmative action,No,No,No,No,Yes,No,,2,personal relationship,Female,Beyond Secondary School,23
4995,Yes,Yes,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,3,,Female,Beyond Secondary School,22
4996,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,"A separated woman whom was left with two kids to rise. My family stand in front of all traditions views of women roles & supported me to take care with my kids, so I can work and night study to finish  Master and PhD degrees.
After finishing I got a better position and a huge raise in my salaries which enabled me to pay my debts,to educate my sons in school & university ,helped me to pay my house . Since three years I was able to be a partner in establishing a small business training center",Female,Beyond Secondary School,53
4997,No,No,Yes,No,No,No,No,No,Yes,,No,Yes,No,Yes,No,No,,3,,Female,Beyond Secondary School,29
4998,Yes,Yes,No,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Finished Secondary School,43
4999,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,,Female,Finished Secondary School,22
5000,Yes,Yes,No,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,22
5001,Yes,Yes,Yes,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,5,,Female,Beyond Secondary School,24
5002,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,34
5003,No,No,No,No,Yes,No,No,No,Yes,,No,No,Yes,No,Yes,No,,1,,Female,Finished Primary School,27
5004,No,Yes,No,No,No,Yes,No,No,No,Understanding of gender roles and the fact that child rearing should not be the major preoccupation of women.,Yes,No,Yes,No,No,No,,3,A good education helped me get a good job but the responsibilities of raising a family has made full time work very challenging,Female,Beyond Secondary School,34
5005,Yes,No,Yes,No,No,No,No,No,Yes,,No,No,Yes,No,No,No,,3,emotion and ambition,Female,Beyond Secondary School,25
5006,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,1,,Female,Beyond Secondary School,30
5007,No,,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,4,"In my case, first, education is important. The university education granted me bachelor degree and a master degree. What is more important is that education opens my horizon and I have learned how to educate myself. Second,  the support from family. Elders opinions can help you to think deeper about the choice you made. Third, self-discipline. To get a good job or earn more money requires equivalent capability. To improve yourself needs self-discipline and strong determinations.",Female,Beyond Secondary School,26
5008,No,No,No,No,No,No,No,No,No,More part-time opportunities,No,No,Yes,No,No,No,Having children inevitably breaks up any woman's career a bit. Different ways of measuring experience are needed.,3,Learning to touch type.,Female,Beyond Secondary School,60
5009,No,Yes,No,Yes,No,No,No,No,Yes,,Yes,No,No,No,Yes,No,,4,dream chance,Female,Finished Secondary School,18
5010,,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,4,education and initiative... and lots of patience,Female,Beyond Secondary School,52
5011,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,"提高学历，比同年龄男性掌握更高的学历。
好的教育环境更加会降低性别印象对学生发展的限制。",Female,Beyond Secondary School,20
5012,Yes,No,Yes,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,,3,"education, skills, ability and experience",Female,Beyond Secondary School,24
5013,Yes,Yes,No,No,No,No,No,No,No,女性更多参政。,No,No,No,No,No,No,大多数女性不能参政，例如我出身最底层才了解最低层人民真正心声，比如中国政府我我没有任何机会参政，即使你了解，也不能成为人民代表参政,4,技艺和阶级关系,Female,Beyond Secondary School,37
5014,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,男性统治的文化和社会,3,良好的教育,Female,Beyond Secondary School,34
5015,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,良好的教育，家庭的重视。,Female,Beyond Secondary School,34
5016,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Male,Beyond Secondary School,38
5017,No,Yes,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,20
5018,No,No,No,Yes,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,"-self-confidence
- education
-women role models (my mother)",Female,Beyond Secondary School,29
5019,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,教育水平,Female,Beyond Secondary School,39
5020,No,Yes,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,1,,Female,Beyond Secondary School,27
5021,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,4,"Good education, work experience, skills and talents, creative/innovative ideas, courage and confidence, zeal and enthusiasm, personal goals, and personal relations etc.",Male,Beyond Secondary School,39
5022,No,Yes,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,No,No,,4,good education background,Female,Beyond Secondary School,26
5023,No,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"GOOD EDUCATION,AFFIRMATIVE ACTION,GOOD WORKPLACE POLICIES THAT RECOGNIZE GENDER ROLES",Female,Beyond Secondary School,32
5024,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,4,,Female,Beyond Secondary School,42
5025,No,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,,Female,Beyond Secondary School,37
5026,No,No,Yes,No,Yes,No,No,No,No,,No,Yes,No,No,Yes,No,,3,,Female,Finished Secondary School,42
5027,No,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,Yes,No,,3,"I come from a family where my mother was already a very educated woman, professional and very good role model and I always knew that I would be professional and anything I wanted I could reach. My husband felt the same about women's professional advancement",Female,Finished Secondary School,86
5028,No,No,No,Yes,No,Yes,No,No,No,,No,No,No,No,Yes,No,,2,"Not education, but help from relatives or friends.",Female,Beyond Secondary School,35
5029,Yes,No,Yes,No,No,No,No,No,Yes,,No,No,Yes,Yes,No,No,,3,,Female,Beyond Secondary School,38
5030,No,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,学历证书，以及出身背景。,Male,Beyond Secondary School,22
5031,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,4,Education,Female,Beyond Secondary School,29
5032,Yes,Yes,Yes,No,Yes,No,No,No,No,,Yes,Yes,No,No,No,No,,2,In my own life eduction and equalty and them main point is democracy and republiction of a society is more key role stydying hard and respecting the rules to rehabliate the country,Male,Finished Primary School,25
